date,equity,cash,shares,price
2024-07-29 04:00:00+00:00,90687.48172367152,30747.38172367151,110.0,544.91
2024-07-30 04:00:00+00:00,90364.08172367152,30747.38172367151,110.0,541.97
2024-07-31 04:00:00+00:00,91288.08172367151,30747.38172367151,110.0,550.37
2024-08-01 04:00:00+00:00,90497.1817236715,30747.38172367151,110.0,543.18
2024-08-02 04:00:00+00:00,89368.58172367151,30747.38172367151,110.0,532.92
2024-08-05 04:00:00+00:00,87661.38172367151,30747.38172367151,110.0,517.4
2024-08-06 04:00:00+00:00,88175.08172367152,30747.38172367151,110.0,522.07
2024-08-07 04:00:00+00:00,87797.23172367152,30747.38172367151,110.0,518.635
2024-08-08 04:00:00+00:00,89114.48172367152,30747.38172367151,110.0,530.61
2024-08-09 04:00:00+00:00,89368.58172367151,30747.38172367151,110.0,532.92
2024-08-12 04:00:00+00:00,89409.2817236715,30747.38172367151,110.0,533.29
2024-08-13 04:00:00+00:00,90366.2817236715,30747.38172367151,110.0,541.99
2024-08-14 04:00:00+00:00,90563.1817236715,30747.38172367151,110.0,543.78
2024-08-15 04:00:00+00:00,91574.08172367152,30747.38172367151,110.0,552.97
2024-08-16 04:00:00+00:00,91711.58172367152,30747.38172367151,110.0,554.22
2024-08-19 04:00:00+00:00,92291.2817236715,30747.38172367151,110.0,559.49
2024-08-20 04:00:00+00:00,92198.88172367151,30747.38172367151,110.0,558.65
2024-08-21 04:00:00+00:00,88411.03780205181,951.1978020518109,156.0,560.64
2024-08-22 04:00:00+00:00,87727.75780205181,951.1978020518109,156.0,556.26
2024-08-23 04:00:00+00:00,88637.23780205182,951.1978020518109,156.0,562.09
2024-08-26 04:00:00+00:00,88432.87780205181,951.1978020518109,156.0,560.78
2024-08-27 04:00:00+00:00,88555.33780205183,951.1978020518109,156.0,561.565
2024-08-28 04:00:00+00:00,88053.79780205182,951.1978020518109,156.0,558.35
2024-08-29 04:00:00+00:00,88047.5578020518,951.1978020518109,156.0,558.31
2024-08-30 04:00:00+00:00,88868.11780205183,951.1978020518109,156.0,563.57
2024-09-03 04:00:00+00:00,87088.1578020518,951.1978020518109,156.0,552.16
2024-09-04 04:00:00+00:00,86880.67780205182,951.1978020518109,156.0,550.83
2024-09-05 04:00:00+00:00,86663.83780205183,951.1978020518109,156.0,549.44
2024-09-06 04:00:00+00:00,80056.94872110736,29253.708721107356,94.0,540.46
2024-09-09 04:00:00+00:00,80619.06872110737,29253.708721107356,94.0,546.44
2024-09-10 04:00:00+00:00,77000.56538508838,722.9253850883797,139.0,548.76
2024-09-11 04:00:00+00:00,77760.89538508838,722.9253850883797,139.0,554.23
2024-09-12 04:00:00+00:00,78432.26538508838,722.9253850883797,139.0,559.06
2024-09-13 04:00:00+00:00,78825.63538508838,722.9253850883797,139.0,561.89
2024-09-16 04:00:00+00:00,78961.85538508839,722.9253850883797,139.0,562.87
2024-09-17 04:00:00+00:00,79000.77538508837,722.9253850883797,139.0,563.15
2024-09-18 04:00:00+00:00,78756.13538508838,722.9253850883797,139.0,561.39
2024-09-19 04:00:00+00:00,80090.53538508838,722.9253850883797,139.0,570.99
2024-09-20 04:00:00+00:00,79679.09538508838,722.9253850883797,139.0,568.03
2024-09-23 04:00:00+00:00,79897.32538508839,722.9253850883797,139.0,569.6
2024-09-24 04:00:00+00:00,80125.28538508838,722.9253850883797,139.0,571.24
2024-09-25 04:00:00+00:00,79950.84038508839,722.9253850883797,139.0,569.985
2024-09-26 04:00:00+00:00,80254.55538508837,722.9253850883797,139.0,572.17
2024-09-27 04:00:00+00:00,80147.52538508837,722.9253850883797,139.0,571.4
2024-09-30 04:00:00+00:00,80515.18038508837,722.9253850883797,139.0,574.045
2024-10-01 04:00:00+00:00,79759.71538508839,722.9253850883797,139.0,568.61
2024-10-02 04:00:00+00:00,79790.2953850884,722.9253850883797,139.0,568.83
2024-10-03 04:00:00+00:00,79641.56538508838,722.9253850883797,139.0,567.76
2024-10-04 04:00:00+00:00,80360.89038508838,722.9253850883797,139.0,572.935
2024-10-07 04:00:00+00:00,77265.30599060819,-16989.4940093918,166.0,567.8
2024-10-08 04:00:00+00:00,78160.04599060821,-16989.4940093918,166.0,573.19
2024-10-09 04:00:00+00:00,78804.12599060821,-16989.4940093918,166.0,577.07
2024-10-10 04:00:00+00:00,75347.44421359486,1017.6442135948564,129.0,576.2
2024-10-11 04:00:00+00:00,75786.04421359487,1017.6442135948564,129.0,579.6
2024-10-14 04:00:00+00:00,76393.63421359485,1017.6442135948564,129.0,584.31
2024-10-15 04:00:00+00:00,75827.32421359485,1017.6442135948564,129.0,579.92
2024-10-16 04:00:00+00:00,76130.47421359486,1017.6442135948564,129.0,582.27
2024-10-17 04:00:00+00:00,76136.92421359487,1017.6442135948564,129.0,582.32
2024-10-18 04:00:00+00:00,76431.04421359487,1017.6442135948564,129.0,584.6
2024-10-21 04:00:00+00:00,76317.52421359486,1017.6442135948564,129.0,583.72
2024-10-22 04:00:00+00:00,73910.87758019922,-16505.27241980079,155.0,583.33
2024-10-23 04:00:00+00:00,73090.9275801992,-16505.27241980079,155.0,578.04
2024-10-24 04:00:00+00:00,73275.37758019922,-16505.27241980079,155.0,579.23
2024-10-25 04:00:00+00:00,73241.27758019921,-16505.27241980079,155.0,579.01
2024-10-28 04:00:00+00:00,73514.0775801992,-16505.27241980079,155.0,580.77
2024-10-29 04:00:00+00:00,73658.22758019921,-16505.27241980079,155.0,581.7
2024-10-30 04:00:00+00:00,73390.07758019921,-16505.27241980079,155.0,579.97
2024-10-31 04:00:00+00:00,71606.02758019921,-16505.27241980079,155.0,568.46
2024-11-01 04:00:00+00:00,72004.3775801992,-16505.27241980079,155.0,571.03
2024-11-04 05:00:00+00:00,71810.6275801992,-16505.27241980079,155.0,569.78
2024-11-05 05:00:00+00:00,72881.67758019922,-16505.27241980079,155.0,576.69
2024-11-06 05:00:00+00:00,71887.52418427142,966.324184271416,120.0,591.01
2024-11-07 05:00:00+00:00,72456.32418427142,966.324184271416,120.0,595.75
2024-11-08 05:00:00+00:00,72756.32418427142,966.324184271416,120.0,598.25
2024-11-11 05:00:00+00:00,72823.52418427142,966.324184271416,120.0,598.81
2024-11-12 05:00:00+00:00,72596.12418427141,966.324184271416,120.0,596.915
2024-11-13 05:00:00+00:00,70405.85215770267,-15593.827842297338,144.0,597.22
2024-11-14 05:00:00+00:00,66816.18573451047,946.5657345104701,111.0,593.42
2024-11-15 05:00:00+00:00,61959.58435286826,22715.004352868255,67.0,585.74
2024-11-18 05:00:00+00:00,62125.07435286825,22715.004352868255,67.0,588.21
2024-11-19 05:00:00+00:00,62257.734352868254,22715.004352868255,67.0,590.19
2024-11-20 05:00:00+00:00,62277.83435286826,22715.004352868255,67.0,590.49
2024-11-21 05:00:00+00:00,62490.55935286825,22715.004352868255,67.0,593.665
2024-11-22 05:00:00+00:00,62613.50435286826,22715.004352868255,67.0,595.5
2024-11-25 05:00:00+00:00,62746.83435286826,22715.004352868255,67.0,597.49
2024-11-26 05:00:00+00:00,59976.991053390644,505.2160533906426,99.0,600.725
2024-11-27 05:00:00+00:00,59774.536053390635,505.2160533906426,99.0,598.68
2024-11-29 05:00:00+00:00,60151.726053390645,505.2160533906426,99.0,602.49
2024-12-02 05:00:00+00:00,60268.54605339064,505.2160533906426,99.0,603.67
2024-12-03 05:00:00+00:00,60288.34605339064,505.2160533906426,99.0,603.87
2024-12-04 05:00:00+00:00,60659.59605339064,505.2160533906426,99.0,607.62
2024-12-05 05:00:00+00:00,58776.63110079216,-12812.788899207852,118.0,606.69
2024-12-06 05:00:00+00:00,58918.23110079215,-12812.788899207852,118.0,607.89
2024-12-09 05:00:00+00:00,58535.911100792146,-12812.788899207852,118.0,604.65
2024-12-10 05:00:00+00:00,58329.411100792146,-12812.788899207852,118.0,602.9
2024-12-11 05:00:00+00:00,58880.47110079216,-12812.788899207852,118.0,607.57
2024-12-12 05:00:00+00:00,58505.23110079215,-12812.788899207852,118.0,604.39
2024-12-13 05:00:00+00:00,58489.89110079214,-12812.788899207852,118.0,604.26
2024-12-16 05:00:00+00:00,56343.02682600805,513.7468260080441,92.0,606.84
2024-12-17 05:00:00+00:00,56103.826826008044,513.7468260080441,92.0,604.24
2024-12-18 05:00:00+00:00,52822.20543135475,-11681.244568645247,110.0,586.395
